question_id,scenario_id,setting,difficulty,variant,tier,tier_name,narrative,characters,question_text,choice_A,choice_B,choice_C,choice_D,correct_answer,explanation,tags
Q_SCN001_T1,SCN_001,domestic,medium,original,1,first_order_tom,Sara places her red notebook on the kitchen table. Tom moves the notebook to the drawer while Sara is in the garden. Sara comes back inside without speaking to Tom or Maya.,"{""A"": ""Sara"", ""B"": ""Tom"", ""C"": ""Maya""}","Based on what Sara has witnessed, what does Sara believe about the notebook location?",Sara does not know,drawer,Sara has no opinion about it,kitchen table,D,"Sara only witnessed event_1, event_3. They did not witness event_2. Therefore, Sara believes the notebook location is: kitchen table.","[""object_location"", ""false_belief"", ""information_asymmetry""]"
Q_SCN001_T2,SCN_001,domestic,medium,original,2,second_order_tom,Sara places her red notebook on the kitchen table. Tom moves the notebook to the drawer while Sara is in the garden. Sara comes back inside without speaking to Tom or Maya.,"{""A"": ""Sara"", ""B"": ""Tom"", ""C"": ""Maya""}",What does Sara think Tom believes about the notebook location?,Tom has never encountered the notebook location,Sara thinks Tom doesn't know about the notebook location,kitchen table,drawer,C,"Sara knows that Tom was present for event_1. From Sara's perspective, Tom's belief would be: kitchen table. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""false_belief"", ""information_asymmetry""]"
Q_SCN001_T3,SCN_001,domestic,medium,original,3,counterfactual_tom,Sara places her red notebook on the kitchen table. Tom moves the notebook to the drawer while Sara is in the garden. Sara comes back inside without speaking to Tom or Maya.,"{""A"": ""Sara"", ""B"": ""Tom"", ""C"": ""Maya""}","If Sara had witnessed event_2, what would Sara most likely think about Tom's intention?",Tom was trying to help or organize,Tom was unaware of the consequences,Tom was confused or mistaken,Tom was acting with hidden intent,D,"Counterfactually, if Sara had witnessed event_2 (Tom moves the notebook to the drawer while Sara is in the garden.), Sara would likely interpret Tom's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""false_belief"", ""information_asymmetry""]"
Q_SCN002_T1,SCN_002,domestic,medium,original,1,first_order_tom,Liam hides a birthday gift for Jake inside the hallway closet. Nora finds the gift while cleaning and moves it to the garage. Jake overhears Nora telling a friend on the phone that she put something in the garage.,"{""A"": ""Liam"", ""B"": ""Nora"", ""C"": ""Jake""}","Based on what Liam has witnessed, what does Liam believe about the gift location?",garage,true but does not know it is a gift,hallway closet,Liam does not know,C,"Liam only witnessed event_1. They did not witness event_2, event_3. Therefore, Liam believes the gift location is: hallway closet.","[""object_location"", ""false_belief"", ""partial_information""]"
Q_SCN002_T2,SCN_002,domestic,medium,original,2,second_order_tom,Liam hides a birthday gift for Jake inside the hallway closet. Nora finds the gift while cleaning and moves it to the garage. Jake overhears Nora telling a friend on the phone that she put something in the garage.,"{""A"": ""Liam"", ""B"": ""Nora"", ""C"": ""Jake""}",What does Liam think Nora believes about the gift location?,garage,true but does not know it is a gift,Liam thinks Nora doesn't know about the gift location,hallway closet,D,"Liam knows that Nora was present for some events. From Liam's perspective, Nora's belief would be: hallway closet. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""false_belief"", ""partial_information""]"
Q_SCN002_T3,SCN_002,domestic,medium,original,3,counterfactual_tom,Liam hides a birthday gift for Jake inside the hallway closet. Nora finds the gift while cleaning and moves it to the garage. Jake overhears Nora telling a friend on the phone that she put something in the garage.,"{""A"": ""Liam"", ""B"": ""Nora"", ""C"": ""Jake""}","If Liam had witnessed event_2, what would Liam most likely think about Nora's intention?",Nora was trying to help or organize,Nora was unaware of the consequences,Nora was confused or mistaken,Nora was acting with hidden intent,D,"Counterfactually, if Liam had witnessed event_2 (Nora finds the gift while cleaning and moves it to the garage.), Liam would likely interpret Nora's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""false_belief"", ""partial_information""]"
Q_SCN003_T1,SCN_003,domestic,easy,original,1,first_order_tom,Emma bakes cookies and leaves them on the counter to cool. Ryan eats all the cookies while Emma is upstairs. Emma calls down from upstairs asking if the cookies have cooled.,"{""A"": ""Emma"", ""B"": ""Ryan"", ""C"": ""Zoe""}","Based on what Emma has witnessed, what does Emma believe about the cookies status?",eaten by Ryan,eaten by himself,still on counter cooling,Emma does not know,C,"Emma only witnessed event_1, event_3. They did not witness event_2. Therefore, Emma believes the cookies status is: still on counter cooling.","[""object_state"", ""false_belief"", ""information_asymmetry""]"
Q_SCN003_T2,SCN_003,domestic,easy,original,2,second_order_tom,Emma bakes cookies and leaves them on the counter to cool. Ryan eats all the cookies while Emma is upstairs. Emma calls down from upstairs asking if the cookies have cooled.,"{""A"": ""Emma"", ""B"": ""Ryan"", ""C"": ""Zoe""}",What does Emma think Ryan believes about the cookies status?,eaten by himself,Emma thinks Ryan doesn't know about the cookies status,still on counter cooling,eaten by Ryan,C,"Emma knows that Ryan was present for event_1, event_3. From Emma's perspective, Ryan's belief would be: still on counter cooling. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_state"", ""false_belief"", ""information_asymmetry""]"
Q_SCN003_T3,SCN_003,domestic,easy,original,3,counterfactual_tom,Emma bakes cookies and leaves them on the counter to cool. Ryan eats all the cookies while Emma is upstairs. Emma calls down from upstairs asking if the cookies have cooled.,"{""A"": ""Emma"", ""B"": ""Ryan"", ""C"": ""Zoe""}","If Emma had witnessed event_2, what would Emma most likely think about Ryan's intention?",Ryan was acting with hidden intent,Ryan was confused or mistaken,Ryan was trying to help or organize,Ryan was unaware of the consequences,A,"Counterfactually, if Emma had witnessed event_2 (Ryan eats all the cookies while Emma is upstairs.), Emma would likely interpret Ryan's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_state"", ""false_belief"", ""information_asymmetry""]"
Q_SCN004_T1,SCN_004,domestic,hard,original,1,first_order_tom,Mia puts her phone on charge in the bedroom. David takes Mia's phone to look up a recipe in the kitchen. Lily puts the phone back in the bedroom before Mia returns. Mia comes back to the bedroom.,"{""A"": ""Mia"", ""B"": ""David"", ""C"": ""Lily""}","Based on what Mia has witnessed, what does Mia believe about the phone location?",bedroom,Mia does not know,bedroom (correct by coincidence),kitchen,C,"Mia only witnessed event_1, event_4. They did not witness event_2, event_3. Therefore, Mia believes the phone location is: bedroom (correct by coincidence).","[""object_location"", ""coincidental_true_belief"", ""multi_transfer""]"
Q_SCN004_T2,SCN_004,domestic,hard,original,2,second_order_tom,Mia puts her phone on charge in the bedroom. David takes Mia's phone to look up a recipe in the kitchen. Lily puts the phone back in the bedroom before Mia returns. Mia comes back to the bedroom.,"{""A"": ""Mia"", ""B"": ""David"", ""C"": ""Lily""}",What does Mia think David believes about the phone location?,bedroom,kitchen,Mia thinks David doesn't know about the phone location,bedroom (correct by coincidence),D,"Mia knows that David was present for some events. From Mia's perspective, David's belief would be: bedroom (correct by coincidence). This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""coincidental_true_belief"", ""multi_transfer""]"
